ad_id,ad_type,title,price,breed,location,age,ready_to_leave,litter_size,available,seller_name,seller_type,kc_registered,microchipped,vaccinated,boys,girls,created,reposted,url
674864636840,For Sale,KC DNA tested gorgeous golden retriever puppies,"£2,800",Golden Retriever,Lanarkshire,4 weeks,,8,8,Hollie,Licensed Breeder Advert,Yes,True,True,True,True,2026-01-03,,https://www.foreverpuppy.co.uk/for-sale/golden-retriever/lanarkshire/674864636840_kc-dna-tested-gorgeous-golden-retriever-puppies
952350602190,For Sale,Gorgeous pedigree Chi Boy,"£1,000",Chihuahua Long Coat,Suffolk,3 months,,1,1,Kristina,Private Advert,No,True,True,True,False,2025-11-05,,https://www.foreverpuppy.co.uk/for-sale/chihuahua-long-coat/suffolk/952350602190_gorgeous-pedigree-chi-boy
574034667115,For Sale,Stunning KC Registered French Bulldog Puppies,"£2,250",French Bulldog,West Midlands,7 weeks,,5,5,Kirsty,Private Advert,Yes,True,True,True,True,2026-01-19,,https://www.foreverpuppy.co.uk/for-sale/french-bulldog/west-midlands/574034667115_stunning-kc-registered-french-bulldog-puppies
613632238008,Rehome,Cocker Spaniel,£560,Cocker Spaniel,Hampshire,,,1,1,Patricia,Private Advert,No,False,False,False,False,2026-01-17,,https://www.foreverpuppy.co.uk/rehome/cocker-spaniel/hampshire/613632238008_cocker-spaniel
416621182852,For Sale,🐕Golden retriever puppies 🐕,"£2,300",Golden Retriever,Bedfordshire,"7 weeks, 5 days",,9,4,,Private Advert,No,True,True,True,True,2025-12-08,,https://www.foreverpuppy.co.uk/for-sale/golden-retriever/bedfordshire/416621182852_golden-retriever-puppies
794989977742,For Sale,Australian Labradoodle Puppies,"£1,800",Australian Labradoodle,Cornwall,6 weeks,,7,7,Samantha,Licensed Breeder Advert,No,True,True,False,True,2025-11-01,,https://www.foreverpuppy.co.uk/for-sale/australian-labradoodle/cornwall/794989977742_australian-labradoodle-puppies
267207306945,For Sale,Pomeranian puppies,"£1,500",Pomeranian,West Midlands,"3 weeks, 5 days",,3,2,Liv,Private Advert,No,False,False,False,False,2026-01-16,,https://www.foreverpuppy.co.uk/for-sale/pomeranian/west-midlands/267207306945_pomeranian-puppies
187225787212,For Sale,Kc stunning mini dachshun ready now,"£1,350",Dachshund Miniature Smooth Haired,South Yorkshire,8½ weeks,,5,5,Joanna,Private Advert,Yes,False,False,False,False,2025-12-28,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-smooth-haired/south-yorkshire/187225787212_kc-stunning-mini-dachshun-ready-now
742907733112,For Sale,Beautiful chunky sprocker spaniel puppies,£800,Sprocker,Lincolnshire,6 weeks,,6,6,Emma,Private Advert,No,True,True,True,True,2025-12-07,,https://www.foreverpuppy.co.uk/for-sale/sprocker/lincolnshire/742907733112_beautiful-chunky-sprocker-spaniel-puppies
237715519419,For Sale,Home raised Olde English  Bulldogge,"£2,000",Old English Bulldog,,5½ weeks,,10,10,Roxy,Private Advert,No,True,True,True,True,2026-01-19,,https://www.foreverpuppy.co.uk/for-sale/old-english-bulldog/area/237715519419_home-raised-olde-english-bulldogge
193273744331,For Sale,2 males remaining. Sprocker puppies,"£1,000",Spaniel English Springer,,"2 weeks, 5 days",,8,8,Amy,Private Advert,No,False,False,False,False,2026-01-19,,https://www.foreverpuppy.co.uk/for-sale/spaniel-english-springer/area/193273744331_2-males-remaining-sprocker-puppies
897233939831,For Stud,Kc reg German shepherd for stud,£150,German Shepherd,Derbyshire,,,,,Ash,Private Advert,Yes,False,False,False,False,2025-11-10,,https://www.foreverpuppy.co.uk/for-stud/german-shepherd/derbyshire/897233939831_kc-reg-german-shepherd-for-stud
468285322829,For Sale,Beautiful staffy puppies looking for forever home,"£1,600",Staffordshire Bull Terrier,Surrey,10½ weeks,,9,9,Roshan,Private Advert,No,False,True,True,True,2026-01-05,,https://www.foreverpuppy.co.uk/for-sale/staffordshire-bull-terrier/surrey/468285322829_beautiful-staffy-puppies-looking-for-forever-home
477493970055,For Sale,Border terrier puppies,"£1,250",Border Terrier,Cambridgeshire,"7 weeks, 5 days",,4,4,John,Private Advert,No,False,False,False,False,2025-12-28,,https://www.foreverpuppy.co.uk/for-sale/border-terrier/cambridgeshire/477493970055_border-terrier-puppies
318928431896,For Sale,DNA Health tested - Champion Bred Springer Puppies,"£1,500",English Springer Spaniel,Lancashire,6 days,,8,8,,Private Advert,Yes,True,True,True,True,2025-12-27,,https://www.foreverpuppy.co.uk/for-sale/english-springer-spaniel/lancashire/318928431896_dna-health-tested-champion-bred-springer-puppies
214868917723,For Sale,Adorable German Shepherd Puppies,"£1,000",German Shepherd,Powys,3 weeks,,8,8,Toni,Private Advert,No,True,True,True,True,,,https://www.foreverpuppy.co.uk/for-sale/german-shepherd/powys/214868917723_adorable-german-shepherd-puppies
985986897720,Wanted,Loving family looking for a beagle puppy🐶🐾,£1,Beagle,Tyne And Wear,,,1,1,,Private Advert,No,False,False,False,False,2026-01-17,,https://www.foreverpuppy.co.uk/wanted/beagle/tyne-and-wear/985986897720_loving-family-looking-for-a-beagle-puppy
241123986114,For Sale,Cavalier king charles puppies,£995,Cavalier King Charles Spaniel,,"7 weeks, 2 days",,6,6,Carole,Private Advert,No,True,True,True,True,2026-01-12,,https://www.foreverpuppy.co.uk/for-sale/cavalier-king-charles-spaniel/area/241123986114_cavalier-king-charles-puppies
395837956072,For Sale,Unusual rare colours straight back German shepherds,"£1,000",German Shepherd,Carmarthenshire,6 weeks,,6,6,Will,Private Advert,No,False,False,False,False,2026-01-19,,https://www.foreverpuppy.co.uk/for-sale/german-shepherd/carmarthenshire/395837956072_unusual-rare-colours-straight-back-german-shepherds
947132095264,For Sale,Kc fox red Labrador puppies,"£1,500",Labrador Retriever,Cheshire,8½ weeks,,10,10,Bernadette,Private Advert,Yes,True,True,True,True,2025-12-05,,https://www.foreverpuppy.co.uk/for-sale/labrador-retriever/cheshire/947132095264_kc-registered-labrador-puppies
541869063874,For Sale,Health beautiful  playful beautiful markings,£800,Dalmatian,,3 months,,9,9,Anneka,Private Advert,No,True,True,True,True,2026-01-05,,https://www.foreverpuppy.co.uk/for-sale/dalmatian/area/541869063874_health-beautiful-playful-beautiful-markings
667497138196,For Sale,Beautiful German Sheppard,"£10,000",German Shepherd,,7 months,,1,1,Beverley,Private Advert,Yes,True,True,False,True,2026-01-13,,https://www.foreverpuppy.co.uk/for-sale/german-shepherd/area/667497138196_beautiful-german-sheppard
045288164423,For Sale,Double Doodle with unique coat pattern,"£1,950",Golden Doodle,Cornwall,13 days,,5,5,Margaret,Private Advert,No,False,False,False,False,2026-01-17,,https://www.foreverpuppy.co.uk/for-sale/golden-doodle/cornwall/045288164423_double-doodle-with-unique-coat-pattern
239673858883,For Sale,Miniature dash hound cross Jack Russell puppies,£500,Mixed Breed,,10 weeks,,1,1,George,Private Advert,No,False,False,False,False,2026-01-19,,https://www.foreverpuppy.co.uk/for-sale/mixed-breed/area/239673858883_miniature-dash-hound-cross-jack-russell-puppies
218389673380,For Sale,,£900,Dachshund Standard Smooth Haired,West Yorkshire,"5 weeks, 5 days",,4,4,Jane,Private Advert,No,True,False,True,True,2025-11-04,,https://www.foreverpuppy.co.uk/for-sale/dachshund-standard-smooth-haired/west-yorkshire/218389673380_our-beloved-pet-daschund-minnie-has-given-birth-to-her-first-litter-of-4-gorgeous-puppies-1-girl-and-3-boys-all-are-thriving-and-growing-up-in-a-loving-family-environment
357312725626,For Sale,Beautiful cane corso puppies,"£1,000",Cane Corso,Newport,11,,6,6,Sam,Private Advert,No,False,False,False,False,2026-01-17,,https://www.foreverpuppy.co.uk/for-sale/cane-corso/newport/357312725626_beautiful-cane-corso-puppies
244485344385,For Sale,Shihpoo puppies,£600,Shihpoo,Derbyshire,11 weeks,,5,5,Ash,Private Advert,No,True,True,True,False,2026-01-01,,https://www.foreverpuppy.co.uk/for-sale/shihpoo/derbyshire/244485344385_shihpoo-puppies
236109507957,For Sale,Labrador- Cane Corso Puppies Looking for Loving Homes,£900,Mixed Breed,,8 weeks,,7,7,Vasilica,Private Advert,No,False,False,False,False,2026-01-19,,https://www.foreverpuppy.co.uk/for-sale/mixed-breed/area/236109507957_labrador-cane-corso-puppies-looking-for-loving-homes
331730990722,For Sale,Superb KC Reg’d Jack Russell Terrier Pups DNA tested Hereditary CLEAR,"£1,600",Jack Russell Terrier,Somerset,9 weeks,,6,6,,Private Advert,Yes,True,True,True,True,2025-08-07,,https://www.foreverpuppy.co.uk/for-sale/jack-russell-terrier/somerset/331730990722_superb-kc-reg-d-jack-russell-terrier-pups-dna-tested-hereditary-clear
127439371567,For Sale,KC registered stunning golden retrievers,"£1,595",Golden Retriever,Nottingham,4½ weeks,,9,9,Roger,Private Advert,Yes,True,True,True,True,2026-01-14,,https://www.foreverpuppy.co.uk/for-sale/golden-retriever/nottingham/127439371567_kc-registered-stunning-golden-retrievers
885402014729,For Sale,Beautiful puppies very loving,£650,Dachshund Miniature Smooth Haired,Kent,4½ months,,3,3,Martin,Private Advert,No,False,False,False,False,2025-12-11,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-smooth-haired/kent/885402014729_beautiful-puppies-very-loving
346442552830,For Sale,Staffordshire bull terrier,£300,Staffordshire Bull Terrier,Banffshire,10 weeks,,13,13,Shane,Private Advert,No,False,False,False,False,2026-01-17,,https://www.foreverpuppy.co.uk/for-sale/staffordshire-bull-terrier/banffshire/346442552830_staffordshire-bull-terrier
202785706404,For Sale,3 adorable male pomeranian puppies,£900,Pomeranian,South Yorkshire,3½ months,,3,2,Mandy,Private Advert,No,True,True,True,False,2026-01-05,,https://www.foreverpuppy.co.uk/for-sale/pomeranian/south-yorkshire/202785706404_3-adorable-male-pomeranian-puppies
577836201144,For Stud,Pomeranian teddy bears for sale,"£1,000",Pomeranian,Uk,,,,,Roman,Private Advert,No,False,False,False,False,2026-01-15,,https://www.foreverpuppy.co.uk/for-stud/pomeranian/uk/577836201144_pomeranian-teddy-bears
667996465906,For Sale,Mini smooth Dachshunds,£800,Dachshund Miniature Smooth Haired,Essex,11½ weeks,,5,5,Rosemary,Private Advert,No,False,False,False,False,2026-01-15,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-smooth-haired/essex/667996465906_mini-smooth-dachshunds
773976966004,For Sale,German Shepherd puppy,"£1,500",German Shepherd,East Riding Of Yorkshire,of 8,,2,2,Aneta,Private Advert,No,False,False,False,False,,,https://www.foreverpuppy.co.uk/for-sale/german-shepherd/east-riding-of-yorkshire/773976966004_german-shepherd-puppy
284121619653,For Sale,Deposit is now been taken for my beautiful babies,£950,Labrador Retriever,West Midlands,9 weeks,,6,2,Janine,Private Advert,No,True,True,False,True,2026-01-02,,https://www.foreverpuppy.co.uk/for-sale/labrador-retriever/west-midlands/284121619653_deposit-is-now-been-taken-for-my-beautiful-babies
234104841919,For Sale,miniature dachshund,"£1,000",Dachshund Miniature Smooth Haired,Nottinghamshire,7 weeks,,5,5,Nicky,Private Advert,No,False,False,False,False,2026-01-15,,https://www.foreverpuppy.co.uk/for-sale/dachshund-miniature-smooth-haired/nottinghamshire/234104841919_miniature-dachshund
490827830512,For Sale,Patter Pugs,£500,Mixed Breed,Staffordshire,8 weeks,,7,1,Jane,Private Advert,No,False,False,False,False,2026-01-02,,https://www.foreverpuppy.co.uk/for-sale/mixed-breed/staffordshire/490827830512_patter-pugs
112087946912,For Sale,Cockapoo puppies,£750,Cockerpoo,West Yorkshire,3½ months,,3,3,John,Private Advert,No,True,False,True,False,2025-12-22,,https://www.foreverpuppy.co.uk/for-sale/cockerpoo/west-yorkshire/112087946912_cockapoo-puppies
796790871333,For Sale,Last of litter of Jack's.,"£1,200",Jack Russell Terrier,,"7 weeks, 5 days",,1,1,Linda,Private Advert,Yes,False,False,False,False,2026-01-15,,https://www.foreverpuppy.co.uk/for-sale/jack-russell-terrier/area/796790871333_last-of-litter-of-jack-s
