title,price,location,url,breed,sex,age,ready_to_leave,kc_registered,microchipped,neutered,vaccinations,health_checks,seller_type,views,created,seller_name,membership_level,member_since
Beautiful Cocker Spaniel Puppys,"£1,250","Doncaster, Yorkshire",https://www.preloved.co.uk/adverts/show/123008443/beautiful-cocker-spaniel-puppys,Cocker spaniel,Mixed Litter,5 weeks,at 8 weeks,No,Yes,No,"and is flea and wormed regularly, she has no health issues.",Yes,Private Seller,120.0,15 days ago,Jodieslays,,February 2021
11 Week old Jack Russell Puppies,£500,"Rochdale, Lancashire",https://www.preloved.co.uk/adverts/show/123009690/11-week-old-jack-russell-puppies,Jack Russell,Mixed Litter,2 months,Now,No,Yes,No,,,Private Seller,359.0,12 days ago,me,,August 2007
5 female French bulldogs puppies,£500,"Wigton, Cumbria",https://www.preloved.co.uk/adverts/show/123007579/5-female-french-bulldogs-puppies,French bulldogs,Female,3 months,Now,Yes - Breed Register,Yes,No,12/12/25.30/12/25,,Private Seller,154.0,17 days ago,Justine95,,January 2026
Outstanding Corgi Puppies,"£1,500","Dinas Mawddwy, Powys",https://www.preloved.co.uk/adverts/show/123002061/outstanding-corgi-puppies,Pembrokeshire Corgi,Male,11 weeks,at 8 weeks,Yes - Breed Register,Yes,No,Yes,Yes,Private Seller,497.0,34 days ago,Penmawddwy Stud,Premium,July 2018
Patterdale pups dog and bitch,£450,"Beeford, Yorkshire",https://www.preloved.co.uk/adverts/show/122988023/patterdale-pups-dog-and-bitch,Patterdale,Mixed Litter,4 months,,No,Yes,No,1st one,,Private Seller,194.0,66 days ago,salvor,Premium,February 2007
Pedigree kc registered Labrador puppies,"£1,250","Ormskirk, Lancashire",https://www.preloved.co.uk/adverts/show/123002769/pedigree-kc-registered-labrador-puppies,Labrador,Male,9 weeks,at 9 weeks,Yes - Breed Register,Yes,No,1st vaccine given,Vet checked,Private Seller,413.0,33 days ago,acorn cattery,Premium,July 2009
Rottwieler cross Old English Sheepdog puppies,£500,"Morecambe, Lancashire",https://www.preloved.co.uk/adverts/show/123009172/rottwieler-cross-old-english-sheepdog-puppies,Old English Sheepdoy/Rottweiler,Female,8 months,Now,No,Yes,No,Fully up to date,2 x Vet health checks,Private Seller,317.0,14 days ago,terry,,May 2007
18month old microchipped female Belgian Malinois,£200,"Kidderminster, England",https://www.preloved.co.uk/adverts/show/123011438/18month-old-microchipped-female-belgian-malinois,Belgian shepherd,Female,18 months,Now,Yes - Breed Register,Yes,No,Up to date,Up to date,Private Seller,242.0,8 days ago,Marlilester,,May 2021
9 Week Old Whippet Puppies,£750,"Ashford, Kent",https://www.preloved.co.uk/adverts/show/123008659/9-week-old-whippet-puppies,Whippet,Male,11 weeks,Now,No,Yes,No,,,Private Seller,290.0,15 days ago,Saskia.Eastwood99,,December 2025
7 week old Blue Staffordshire bull terrier,"£2,250","Bideford, Devon",https://www.preloved.co.uk/adverts/show/123010208/7-week-old-blue-staffordshire-bull-terrier,Staffordshire Bull Terrier,Mixed Litter,7 weeks,at 9 weeks,Yes - Breed Register,Yes,No,& microchip Full vet health check Puppy pack to get you started,Yes,Private Seller,47.0,11 days ago,hanmault,,December 2025
