title,price,location,url,breed,sex,age,ready_to_leave,kc_registered,microchipped,neutered,vaccinations,health_checks,seller_type,views,created,seller_name,membership_level,member_since
8 week old minature dachshund,£900,"Cwmbran, Torfaen",https://www.preloved.co.uk/adverts/show/122976983/8-week-old-minature-dachshund,Minature dachshund,Female,4 months,Now,No,Yes,No,No,No,Private Seller,475.0,90 days ago,Jess,,August 2021
Exquisite Maltipoos boys and girls F1BB,"£1,250","Ammanford, Swansea",https://www.preloved.co.uk/adverts/show/122981585/exquisite-maltipoos-boys-and-girls-f1bb,Maltipoo,Mixed Litter,4 months,at 8 weeks,No,Yes,No,Yes 1st,Yes vet,Licensed Breeder,44.0,80 days ago,MRS M JONES,,January 2006
2 Beautiful female Isabella tan K.C miniature dachshunds,"£1,500","Holyhead, Anglesey",https://www.preloved.co.uk/adverts/show/122996654/2-beautiful-female-isabella-tan-kc-miniature-dachshunds,Miniature dachshund,Female,10 weeks,"for their forever home - just in time for the holidays. Both are rare Isabella - tan colour, a highl",Yes - Breed Register,No,No,,,Private Seller,70.0,48 days ago,Casey,,July 2020
Doberman X Cane Corso Litter!,£750,"Stroud, Gloucestershire",https://www.preloved.co.uk/adverts/show/122984072/doberman-x-cane-corso-litter,Doberman X Cane Corso,Mixed Litter,3 months,at 10 weeks,No,Yes,No,Yes,Yes,Private Seller,553.0,75 days ago,Alchemist,,April 2020
Exquisite Maltipoos boys and girls F1BB,"£1,250","Ammanford, Swansea",https://www.preloved.co.uk/adverts/show/122981584/exquisite-maltipoos-boys-and-girls-f1bb,Maltipoo,Mixed Litter,4 months,at 8 weeks,No,Yes,No,Yes 1st,Yes vet,Licensed Breeder,146.0,80 days ago,MRS M JONES,,January 2006
*READY NOW* PRA CLEAR KC Reg Mini Smooth Dachshund,"£1,000","Poole, Dorset",https://www.preloved.co.uk/adverts/show/122996272/ready-now-pra-clear-kc-reg-mini-smooth-dachshund,Mini Smoothie Dachshund,Male,3 months,for his forever home 25/11/25 20 years dachshund breeder experience. Deposit secures. Can deliver if,Yes - Breed Register,Yes,No,Yes,Yes,Private Seller,140.0,48 days ago,Mrs White,,February 2021
Male Dogue de bordeaux or Neapolitan Mastiff,,"Skegness, Lincolnshire",https://www.preloved.co.uk/adverts/show/122998276/male-dogue-de-bordeaux-or-neapolitan-mastiff,Dogue de Bordeaux,,,,,,,,,,47.0,44 days ago,Dom79,,April 2011
Beautiful biewer Yorkshire terriers,"£1,500","Wellingborough, Northants",https://www.preloved.co.uk/adverts/show/122971223/beautiful-biewer-yorkshire-terriers,Biewer,Male,5 months,at 10 weeks,No,Yes,No,Fully vaccinated,Twice,Licensed Breeder,405.0,101 days ago,sue,,August 2008
West Highland terrier dog,,"Hornchurch, Essex",https://www.preloved.co.uk/adverts/show/122600019/west-highland-terrier-dog,West Highland Terrier,,,,,,,,,,4821.0,604 days ago,chrisycool,,July 2013
English pointer x Labrador,£700,"Highbridge, Somerset",https://www.preloved.co.uk/adverts/show/122979044/english-pointer-x-labrador,English pointer x labrador,Mixed Litter,3 months,at 8 weeks,No,Yes,No,Yes,Yes,Private Seller,457.0,85 days ago,Vickyy123,,January 2024
Lovegoods proven health tested sealed brindle kc boxer,£500,"Yarm, North Yorkshire",https://www.preloved.co.uk/adverts/show/121404124/lovegoods-proven-health-tested-sealed-brindle-kc-boxer,Boxer,Male,4 years,,Yes - Breed Register,,,Yes,,,5111.0,1409 days ago,Lovegood,,April 2011
Stunning dachshund for stud duties,£300,"Tarleton, Lancashire",https://www.preloved.co.uk/adverts/show/122220804/stunning-dachshund-for-stud-duties,Dachshund,Male,5 years,,No,,,Up to date,,,4307.0,929 days ago,Edina,,September 2018
Dogue de bordeaux x cane corso,£750,"Halstead, Essex",https://www.preloved.co.uk/adverts/show/122996636/dogue-de-bordeaux-x-cane-corso,Dogue de bordeaux x,Mixed Litter,9 weeks,at 8 weeks,No,Yes,No,Yes,Yes,Private Seller,90.0,48 days ago,Bethrhiannon,,December 2025
Border collie girl available,£600,"Cheltenham, Glos",https://www.preloved.co.uk/adverts/show/122992827/border-collie-girl-available,Border collie,Female,3 months,Now,No,Yes,No,1st vaccine,Yes,Private Seller,69.0,56 days ago,jh,,November 2009
"Stunning Red Mini Poodle Stud, Multiple DNA + Health Tested.",£200,"Shropshire, Shropshire/cheshire/staffs Border.",https://www.preloved.co.uk/adverts/show/115108386/stunning-red-mini-poodle-stud-multiple-dna-health-tested,Miniature Poodle,Male,11 years,,Yes - Breed Register,,,Fully vaccinated,,,28636.0,3511 days ago,Fallow fields,,October 2010
Gorgeous black & silver merle Poodle. STUD ONLY,£200,"New York, Lincoln",https://www.preloved.co.uk/adverts/show/122833468/gorgeous-black-silver-merle-poodle-stud-only,Poodle,,,,,,,,,,212.0,322 days ago,catmonkey,,February 2008
5 year old bulldog for rehoming,£100,"Halstead, Essex",https://www.preloved.co.uk/adverts/show/122992819/5-year-old-bulldog-for-rehoming,Olde English bulldog,Female,5 years,Now,No,Yes,Yes,,,Private Seller,122.0,56 days ago,sford,,February 2012
Cockerspaniel Last of the Litter,£600,"Runcorn, Cheshire",https://www.preloved.co.uk/adverts/show/122996208/cockerspaniel-last-of-the-litter,Cockerspaniel,Male,3 months,Now,,Yes,,,Yes,Private Seller,33.0,49 days ago,vict0ria,,November 2015
Extensively Health Tested Deep Red Min Poodle Stud,£300,"Mansfield, Nottinghamshire",https://www.preloved.co.uk/adverts/show/120046429/extensively-health-tested-deep-red-min-poodle-stud,Poodle,Male,9 years,,Yes - Breed Register,,,Yes,,,34571.0,2007 days ago,aneta.s,,December 2011
"Stunning Cavalier Stud, Superb Import. Health Tested.",£250,"Shropshire, Shropshire/cheshire/staffs Border.",https://www.preloved.co.uk/adverts/show/120571080/stunning-cavalier-stud-superb-import-health-tested,Cavalier King Charles,Male,6 years,,Yes - Breed Register,,,Fully vac,,,9400.0,1780 days ago,Fallow fields,,October 2010
Teacup Female Poodle for Sale,"£1,300","Rochester, Kent",https://www.preloved.co.uk/adverts/show/123000488/teacup-female-poodle-for-sale,Poodle,Female,14 months,Now,No,Yes,No,wormed and flea treatment..She also had her first period in August 2025She is a very energetic dog a,Yes,Private Seller,163.0,39 days ago,Summertime,,October 2017
Sprocker’s full vax and chipped ready at 8 weeks,£600,Cheshire,https://www.preloved.co.uk/adverts/show/122977776/sprockers-full-vax-and-chipped-ready-at-8-weeks,Sprocker,Mixed Litter,3 months,at 8 weeks,No,Yes,No,Yes,Yes,Private Seller,516.0,88 days ago,greg,,October 2019
Beautiful male Yorkshire Terrier,"£1,050","Welwyn Garden City, Hertfordshire",https://www.preloved.co.uk/adverts/show/122989955/beautiful-male-yorkshire-terrier,Yorkshire Terrier,Male,4 months,Now,No,Yes,No,First,Yes,Private Seller,152.0,62 days ago,Sam,,November 2019
F1b cavapoo therapy lines,"£2,200","Basingstoke, Hants",https://www.preloved.co.uk/adverts/show/122979552/f1b-cavapoo-therapy-lines,Cavapoo,Mixed Litter,3 months,at 8 weeks,No,Yes,No,Yes,Yes,Private Seller,175.0,84 days ago,A small,,January 2022
7 week old female sproker,£750,"Wyre Piddle, Worcestershire",https://www.preloved.co.uk/adverts/show/122996787/7-week-old-female-sproker,Sproker,Female,3 months,at 8 weeks,No,Yes,No,No,Yes,Private Seller,42.0,47 days ago,Kb767,,December 2025
Blue kc reg whippet 'well proven',£250,"Middleton, Manchester",https://www.preloved.co.uk/adverts/show/120773896/blue-kc-reg-whippet-well-proven,Whippet,Male,11 years,,Yes - Breed Register,,,,,,8256.0,1705 days ago,chickens4ever05,,June 2008
Douge de bordeaux cross American bulldog,£500,"Ilkeston, Derby",https://www.preloved.co.uk/adverts/show/122977645/douge-de-bordeaux-cross-american-bulldog,Douge de bordeaux,Male,13 months,Now,,Yes,No,Up to date,Up to date,Private Seller,341.0,89 days ago,alex,,January 2010
5 Beautiful healthy KC reg straight back GSP's,"£2,200","Water Orton, Warwickshire",https://www.preloved.co.uk/adverts/show/122983496/5-beautiful-healthy-kc-reg-straight-back-gsps,German shepherd,Mixed Litter,8 weeks,at 8 weeks,Yes - Breed Register,No,,Yes,Yes,Private Seller,244.0,76 days ago,Kieran,,November 2024
** Parson Russell Bitch **,£550,"Wem, Shropshire",https://www.preloved.co.uk/adverts/show/122979209/-parson-russell-bitch-,Parson Russell,Female,5 years,Now,No,Yes,No,Yes,,Private Seller,910.0,85 days ago,Gem,Premium,March 2008
"Piro/Yoker ,, what a boy our LOKI is ,, and available for st",£200,"Alsager, Cheshire",https://www.preloved.co.uk/adverts/show/122124822/piroyoker-what-a-boy-our-loki-is-and-available-for-st,Staffordshire bull terrier,Male,4 years,,Yes - Breed Register,,,Fully,,,4468.0,987 days ago,Little paws Shih Tzu,,August 2008
1 year old male springer spaniel,£500,"Purfleet, Essex",https://www.preloved.co.uk/adverts/show/122994412/1-year-old-male-springer-spaniel,English Springer Spaniel,Male,14 months,Now,No,Yes,No,Yes,Yes,Private Seller,244.0,53 days ago,George Griggs,,March 2020
*****Luxury 1 Year Old KC Registered Maltese Adult Girl****,"£3,000","Wainfleet, Lincolnshire",https://www.preloved.co.uk/adverts/show/122641235/luxury-1-year-old-kc-registered-maltese-adult-girl,maltese,Female,16 months,Now,Yes - Breed Register,Yes,No,fully vaccinated,vet checked,Private Seller,3836.0,563 days ago,mike,,July 2024
Extensively Health Tested Cavalier King Charles Spaniel Stud,£300,"Mansfield, Nottinghamshire",https://www.preloved.co.uk/adverts/show/120424922/extensively-health-tested-cavalier-king-charles-spaniel-stud,Cavalier King Charles Spaniel,Male,11 years,,Yes - Breed Register,,,all vaccinations uptodate,,,17634.0,1854 days ago,aneta.s,,December 2011
"Meet Lumi, currently residing in Somerset",£400,"Leeds, England",https://www.preloved.co.uk/adverts/show/123002378/meet-lumi-currently-residing-in-somerset,Mixed,Female,13 months,Now,No,Yes,No,Yes,Yes,Rescue,417.0,34 days ago,Pawprints2freedom,,August 2024
Great Dane Rescue,,"Loftus, North Yorkshire",https://www.preloved.co.uk/adverts/show/113943687/great-dane-rescue,Great Dane,,,,,,,,,,24002.0,3751 days ago,T J DANES RESCUE,,February 2015
9 very beautiful/healthy F1 cockapoo’s.5 girls ??3 boys ??,"£1,200","Cheltenham, Gloucestershire",https://www.preloved.co.uk/adverts/show/122971315/9-very-beautifulhealthy-f1-cockapoos5-girls-3-boys-,Cockerpoo,Mixed Litter,4 months,for their new forever homes on 13/11/25,No,Yes,No,No,,Private Seller,581.0,101 days ago,samm,,July 2010
Working Cocker Spaniels,"£1,650","Bilsthorpe, Nottingham",https://www.preloved.co.uk/adverts/show/122978495/working-cocker-spaniels,Working cocker Spaniels,Female,4 months,Now,Yes - Breed Register,Yes,No,1st vaccination,Yes,Licensed Breeder,360.0,87 days ago,Spaniels,,October 2025
"Meet Eileen, currently residing in Essex",£400,"Leeds, England",https://www.preloved.co.uk/adverts/show/122990665/meet-eileen-currently-residing-in-essex,Mixed,Kennels,6 years,Now,No,Yes,Yes,Yes,Yes,Rescue,237.0,61 days ago,Pawprints2freedom,,August 2024
"Meet Fox, currently residing in Essex",£400,"Leeds, England",https://www.preloved.co.uk/adverts/show/122936405/meet-fox-currently-residing-in-essex,Mixed,Male,19 months,Now,No,Yes,Yes,Yes,Yes,Rescue,134.0,166 days ago,Pawprints2freedom,,August 2024
"Meet Kobi, currently residing in Cheshire",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/122770285/meet-kobi-currently-residing-in-cheshire,Mixed,Male,9 years,Now,No,Yes,Yes,Yes,Yes,Rescue,1492.0,421 days ago,Pawprints2freedom,,August 2024
2 dogs needing rehoming together,£100,"Barnsley, South Yorkshire",https://www.preloved.co.uk/adverts/show/122998175/2-dogs-needing-rehoming-together,Oug,Female,9 years,Now,No,Yes,Yes,,,Private Seller,754.0,44 days ago,Epalmer,,December 2025
"Meet Marvel, currently residing in Crewe",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/122999037/meet-marvel-currently-residing-in-crewe,Mixed,Male,6 years,Now,No,Yes,Yes,Yes,Yes,Rescue,189.0,42 days ago,Pawprints2freedom,,August 2024
"Meet Skye, currently residing in Cheshire",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/122958544/meet-skye-currently-residing-in-cheshire,Mixed,Female,2 years,Now,No,Yes,Yes,Yes,Yes,Rescue,513.0,127 days ago,Pawprints2freedom,,August 2024
"Meet Meeko, currently residing in Cheshire",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/122770279/meet-meeko-currently-residing-in-cheshire,Mixed,Male,5 years,Now,No,Yes,Yes,Yes,Yes,Rescue,1440.0,421 days ago,Pawprints2freedom,,August 2024
"Meet Cliff, currently residing in Essex",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/122870523/meet-cliff-currently-residing-in-essex,Mixed,Male,3 years,Now,No,Yes,Yes,Yes,Yes,Rescue,525.0,267 days ago,Pawprints2freedom,,August 2024
Cane corso female 8 month old,"£1,000","Keighley, West Yorkshire",https://www.preloved.co.uk/adverts/show/122971970/cane-corso-female-8-month-old,Cane corso,Female,10 months,Now,No,Yes,No,"Distemper, hepatitis, parvovirus, leptospirosis,",29/5/2025,Private Seller,138.0,100 days ago,Micromental,,March 2020
"Meet Oscar, currently residing in Oxfordshire",£400,"Leeds, England",https://www.preloved.co.uk/adverts/show/122796166/meet-oscar-currently-residing-in-oxfordshire,Mixed,Male,7 years,Now,No,Yes,Yes,Yes,Yes,Rescue,1301.0,378 days ago,Pawprints2freedom,,August 2024
Rottweiler x Staffie bitch,£100,"Barnoldswick, Lancashire",https://www.preloved.co.uk/adverts/show/122994268/rottweiler-x-staffie-bitch,Rottweiler x Staffie,Female,5 years,Now,No,Yes,Yes,,,Private Seller,160.0,53 days ago,Linzchapman,,October 2019
Boy Fluffy frenchie 2 years old,£400,"Chelmsford, Essex",https://www.preloved.co.uk/adverts/show/123014768/boy-fluffy-frenchie-2-years-old,French bulldog,Male,2 years,Now,,Yes,No,,,Private Seller,22.0,1 days ago,Rachel,,September 2021
Dusty- 3 year old German Shepard x Husky,£200,"Holway, Holywell, Wales",https://www.preloved.co.uk/adverts/show/123015142/dusty-3-year-old-german-shepard-x-husky,German Shepherd cross Husky,Male,3 years,Now,No,Yes,No,,,Private Seller,0.0,3 hours ago,Charleyy,,August 2013
Daisy 11 month Cocker spaniel,£600,Hampshire,https://www.preloved.co.uk/adverts/show/123014045/daisy-11-month-cocker-spaniel,Cocker spaniel,Female,11 months,Now,No,Yes,No,Yes,Yes,Private Seller,129.0,2 days ago,Summer,,January 2021
3 year old French bulldog,£500,"Welwyn Garden City, Herts",https://www.preloved.co.uk/adverts/show/123013588/3-year-old-french-bulldog,French bulldog,Female,3 years,Now,Yes - Breed Register,Yes,No,Yes,,Private Seller,93.0,3 days ago,chris,,May 2018
Rottweiler 4 year old Bitch,£200,"Cropwell Bishop, Nottingham",https://www.preloved.co.uk/adverts/show/123013143/rottweiler-4-year-old-bitch,Rottweiler,Female,4 years,Now,No,Yes,No,,,Private Seller,161.0,5 days ago,gabriella,,January 2010
American Bulldog male two years old,£260,"Horley, Surrey",https://www.preloved.co.uk/adverts/show/123012384/american-bulldog-male-two-years-old,American Bulldog,Male,2 years,Now,No,Yes,Yes,All vaccines,Done,Private Seller,92.0,6 days ago,Diamond,,December 2024
"Meet Patch, currently residing in Essex",£620,"Leeds, England",https://www.preloved.co.uk/adverts/show/123012267/meet-patch-currently-residing-in-essex,Mixed,Kennels,7 months,Now,No,Yes,No,Yes,Yes,Rescue,77.0,7 days ago,Pawprints2freedom,,August 2024
Hestia the husk mix needs a home!!!,£100,"Cannock, Staffordshire",https://www.preloved.co.uk/adverts/show/123012365/hestia-the-husk-mix-needs-a-home,Huskyxmalamute,Female,2 years,Now,No,Yes,No,,,Private Seller,172.0,6 days ago,Lily,,October 2024
"Meet Tyson, currently residing in Hertfordshire",£150,"Leeds, England",https://www.preloved.co.uk/adverts/show/123012329/meet-tyson-currently-residing-in-hertfordshire,Mixed,Male,6 years,Now,No,Yes,Yes,Yes,Yes,Rescue,144.0,6 days ago,Pawprints2freedom,,August 2024
"Meet Bolt, currently residing in Cheshire",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123012260/meet-bolt-currently-residing-in-cheshire,Mixed,Male,8 months,Now,No,Yes,No,Yes,Yes,Rescue,202.0,7 days ago,Pawprints2freedom,,August 2024
KelpiexCollie to good home,£50,"Rhosgadfan, Gwynedd",https://www.preloved.co.uk/adverts/show/123012018/kelpiexcollie-to-good-home,Australian Kelpie,,,,,,,,,Filter search results by promotions,,,,,
Lexi - 7 month old pure bred labrador Female,£650,"Tilbury, Essex",https://www.preloved.co.uk/adverts/show/123011592/lexi-7-month-old-pure-bred-labrador-female,Labrador,Female,7 months,Now,No,Yes,No,All first year vaccinations done,,Private Seller,149.0,8 days ago,bekky018,,January 2010
Dutch herder boy 4 month old,£500,"Woodhall Spa, East Lindsey",https://www.preloved.co.uk/adverts/show/123011778/dutch-herder-boy-4-month-old,Dutch herder,Male,4 months,,No,Yes,No,Yes up to date,,Private Seller,93.0,8 days ago,Gemz,,December 2021
"Meet Pipa, currently residing in Derbyshire",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123011665/meet-pipa-currently-residing-in-derbyshire,Mixed,Female,11 years,Now,No,Yes,Yes,Yes,Yes,Rescue,37.0,8 days ago,Pawprints2freedom,,August 2024
Shihtzu a loving boy is needing a loving home,£200,"Preston, Fylde",https://www.preloved.co.uk/adverts/show/123009946/shihtzu-a-loving-boy-is-needing-a-loving-home,Shihtzu,Male,5 years,Now,No,Yes,No,No,No,Private Seller,735.0,12 days ago,Raf,,March 2024
French bulldog 3 yrs old,£300,"Bolton, Lancs",https://www.preloved.co.uk/adverts/show/123010936/french-bulldog-3-yrs-old,French bulldog,Female,3 years,Now,No,Yes,No,,,Private Seller,195.0,9 days ago,abigail,,April 2009
Patterdale x whippet 7 months old.,£300,"Wolverhampton, West Midlands",https://www.preloved.co.uk/adverts/show/123010702/patterdale-x-whippet-7-months-old,Patterdale x whippet,Female,7 months,Now,No,Yes,No,First and second injections done,Healthy.,Private Seller,350.0,10 days ago,Natalie,,September 2025
Alpha blueblood bulldog,£450,"Milton Keynes, Greenleys",https://www.preloved.co.uk/adverts/show/123010528/alpha-blueblood-bulldog,Alpha blue blood bulldog,Male,6 months,Now,No,Yes,No,All,,Private Seller,251.0,10 days ago,gemma Jackson,,December 2018
8 month old male0 patterjack,£350,"Wingate, Durham",https://www.preloved.co.uk/adverts/show/123010901/8-month-old-male0-patterjack,Patterjack,Male,8 months,Now,No,Yes,No,All,All,Private Seller,287.0,10 days ago,JWilson,,October 2021
Kind loving new home needed for our two doggies,,"Hinckley, Leicestershire",https://www.preloved.co.uk/adverts/show/123010419/kind-loving-new-home-needed-for-our-two-doggies,Pug / shitzhu,Mixed Litter,14 years,Now,No,Yes,Yes,All,All,Private Seller,583.0,11 days ago,LL,,January 2012
Old tyhme bulldog good with children,£50,Darlington,https://www.preloved.co.uk/adverts/show/123010864/old-tyhme-bulldog-good-with-children,Old thyme bulldog,Female,4 years,Now,,Yes,No,,,Private Seller,212.0,10 days ago,Gem,,July 2025
7 month Wippit very good,£350,Oldcown,https://www.preloved.co.uk/adverts/show/123010533/7-month-wippit-very-good,Wippit,Male,7 months,Now,No,Yes,No,Yes,Yes,Private Seller,164.0,10 days ago,Bob,,May 2023
French bulldog 3 years old,£500,"Grimsby, Lincolnshire",https://www.preloved.co.uk/adverts/show/123010114/french-bulldog-3-years-old,French bulldog,Male,3 years,Now,Yes - Breed Register,Yes,No,Yes,Yes,Private Seller,118.0,11 days ago,Rachel,,February 2022
Beautiful Girl Spayed 2yo Jack Russell Terrier Dog,£350,"Holsworthy, Devon",https://www.preloved.co.uk/adverts/show/123008732/beautiful-girl-spayed-2yo-jack-russell-terrier-dog,Jack Russell,Female,2 years,Now,No,Yes,Yes,Yes,Yes,Private Seller,454.0,15 days ago,T. G.,,May 2022
3 year old black female Cane corso,£100,"Derby, Derbyshire",https://www.preloved.co.uk/adverts/show/123008344/3-year-old-black-female-cane-corso,Cane corso,Female,3 years,Now,No,Yes,No,,,Private Seller,227.0,16 days ago,Laura94,,December 2018
Sali the Collie - 2 years old,£300,"Rhayader, Wales",https://www.preloved.co.uk/adverts/show/123009572/sali-the-collie-2-years-old,Collie,Female,2 years,Now,,Yes,,,,Private Seller,211.0,13 days ago,ML,,April 2019
"Male Panda Pug, Tan + White",£550,"Llanndona, Isle Of Anglesey",https://www.preloved.co.uk/adverts/show/123009844/male-panda-pug-tan-white,Panda Pug,Male,12 months,Now,No,Yes,No,"Distemper, Hepatitis, Leptospirosis, Parvovirus",,Private Seller,113.0,12 days ago,Ace7249,,June 2019
Beautiful white female pug,£400,"Truro, Cornwall",https://www.preloved.co.uk/adverts/show/123007928/beautiful-white-female-pug,Pug,Female,6 years,Now,Yes - Breed Register,Yes,Yes,,,Private Seller,123.0,17 days ago,rachyp22,,June 2009
Bullmastiff x cane corso,£450,"Barnsley, Sheffield",https://www.preloved.co.uk/adverts/show/123009315/bullmastiff-x-cane-corso,Bullmastiff x cane corso,Male,3 years,Now,No,Yes,No,,,Private Seller,78.0,13 days ago,ellie kate,,February 2022
6 month old German Shepard cross old Tyme bulldog,£400,"Warrington, Cheshire",https://www.preloved.co.uk/adverts/show/123009544/6-month-old-german-shepard-cross-old-tyme-bulldog,German Shepard cross old tyme English bull dog,Female,6 months,Now,No,Yes,No,Full,Full health check,Private Seller,171.0,13 days ago,Danniixxrxx,,January 2020
Bulldog X neo mastiff lovely brother and sister,£300,"Godalming, Surrey",https://www.preloved.co.uk/adverts/show/123009275/bulldog-x-neo-mastiff-lovely-brother-and-sister,Bulldog X neo mastiff,Mixed Litter,4 years,Now,No,Yes,Yes,All,All,Private Seller,205.0,13 days ago,Kerry,,November 2021
"21 month old male frenchie carrying pink, blue and fluffy",£600,"Bootle, Merseyside",https://www.preloved.co.uk/adverts/show/122923026/21-month-old-male-frenchie-carrying-pink-blue-and-fluffy,French bulldog,Male,2 years,Now,No,Yes,No,All up to date,Yes,Private Seller,487.0,187 days ago,Mathew,Premium,February 2008
"Meet Bear,currently residing in Staffordshire",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123009568/meet-bearcurrently-residing-in-staffordshire,Mixed,Male,6 years,Now,No,Yes,Yes,Yes,Yes,Rescue,152.0,13 days ago,Pawprints2freedom,,August 2024
5 year olds Jack Russell for Sale,£600,"Skipton, N Yorks",https://www.preloved.co.uk/adverts/show/122982438/5-year-olds-jack-russell-for-sale,Jack Russell,Female,5 years,Now,No,Yes,No,Yes,Yes,Private Seller,785.0,78 days ago,gill,Premium,May 2009
8 week old american akitas bundles of joy for sale,£750,"Dover, Kent",https://www.preloved.co.uk/adverts/show/123008849/8-week-old-american-akitas-bundles-of-joy-for-sale,American akita,Mixed Litter,10 weeks,Now,,Yes,No,,,Private Seller,119.0,14 days ago,steve,,January 2014
3 year old labrador bitch,£200,"Spalding, Lincs",https://www.preloved.co.uk/adverts/show/123008865/3-year-old-labrador-bitch,Labrador,Female,3 years,Now,No,Yes,No,,Vet check at 8 weeks,Private Seller,381.0,14 days ago,sherrie,,September 2009
"Meet Bernie, currently residing in Cheshire",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123008582/meet-bernie-currently-residing-in-cheshire,Mixed,Male,6 years,Now,No,Yes,Yes,Yes,Yes,Rescue,232.0,15 days ago,Pawprints2freedom,,August 2024
Trained Female Belgian Malinois,"£1,200","Caernarfon, Gwynedd",https://www.preloved.co.uk/adverts/show/123007314/trained-female-belgian-malinois,Belgian malinois,Female,20 months,Now,Yes - Breed Register,Yes,No,,Yes,Private Seller,275.0,18 days ago,C.smith,,December 2021
18 month old Female American bulldog,£200,"Grimsby, Ne Lincs",https://www.preloved.co.uk/adverts/show/123008491/18-month-old-female-american-bulldog,American bulldog,Female,18 months,Now,No,Yes,No,No,Yes,Private Seller,203.0,15 days ago,Tattyb1984,,January 2023
"Meet Otis, currently residing in West Yorkshire",£520,"Leeds, England",https://www.preloved.co.uk/adverts/show/123008322/meet-otis-currently-residing-in-west-yorkshire,Mixed,Male,6 years,Now,No,Yes,Yes,Yes,Yes,Rescue,87.0,16 days ago,Pawprints2freedom,,August 2024
4yo Border Collie/Blue heeler cross Koda,£50,"Gosport, Hampshire",https://www.preloved.co.uk/adverts/show/123007594/4yo-border-collieblue-heeler-cross-koda,Collie cross,Female,4 years,Now,,Yes,,,,Private Seller,246.0,17 days ago,Eugene m,,January 2026
"Meet Cassie, currently residing in Surrey",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123008330/meet-cassie-currently-residing-in-surrey,Mixed,Female,2 years,Now,No,Yes,Yes,Yes,Yes,Rescue,133.0,16 days ago,Pawprints2freedom,,August 2024
"Meet Winnie, currently residing in Wirral",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123007951/meet-winnie-currently-residing-in-wirral,Mixed,Female,19 months,Now,No,Yes,Yes,Yes,Yes,Rescue,299.0,17 days ago,Pawprints2freedom,,August 2024
Olde english bulldog - His name is Dexter,£50,Trowbridge,https://www.preloved.co.uk/adverts/show/123006218/olde-english-bulldog-his-name-is-dexter,Olde English Bulldog,Male,5 years,,No,Yes,Yes,Upto date,Upto date,Private Seller,135.0,21 days ago,Kacey,,February 2023
5 year old male border collie,£100,"Bangor, Gwynedd",https://www.preloved.co.uk/adverts/show/123007783/5-year-old-male-border-collie,Border collie,Male,5 years,Now,,Yes,,,,Private Seller,259.0,17 days ago,Tudur,,January 2018
"Meet Archie, currently residing in East Sussex",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123007535/meet-archie-currently-residing-in-east-sussex,Mixed,Male,9 years,Now,No,Yes,Yes,Yes,Yes,Rescue,122.0,18 days ago,Pawprints2freedom,,August 2024
Brian is searching for his new forever home,£300,"Stoke On Trent, Staffordshire",https://www.preloved.co.uk/adverts/show/123006824/brian-is-searching-for-his-new-forever-home,Mastiff cross,Male,2 years,Now,No,Yes,Yes,,,Rescue,236.0,20 days ago,Lou,,August 2018
"Meet Bella, currently residing in Falkirk",£100,"Leeds, England",https://www.preloved.co.uk/adverts/show/123007161/meet-bella-currently-residing-in-falkirk,Mixed,Female,2 years,Now,No,Yes,Yes,Yes,Yes,Rescue,188.0,19 days ago,Pawprints2freedom,,August 2024
French bulldog male age 2,£200,"Wigan, Lancashire",https://www.preloved.co.uk/adverts/show/123010505/french-bulldog-male-age-2,French Bulldog,Male,2 years,,,,,,,Private Seller,83.0,10 days ago,Kerry,,June 2020
3yr Shih-tzu for new home,£50,"Norwich, Norfolk",https://www.preloved.co.uk/adverts/show/123006913/3yr-shih-tzu-for-new-home,Shih-tsu,Male,3 years,Now,No,Yes,Yes,Yes,Yes,Private Seller,441.0,19 days ago,VeganLove,,August 2012
2.5 yr old Saint bernard male,£250,"Holmfirth, West Yorkshire",https://www.preloved.co.uk/adverts/show/123006450/25-yr-old-saint-bernard-male,St bernard,Male,2 years,Now,No,Yes,No,Up to date,No health issues,Private Seller,619.0,21 days ago,Senny,,February 2022
Wire haired dachshund girl,£800,"Acklam, Cleveland",https://www.preloved.co.uk/adverts/show/123006336/wire-haired-dachshund-girl,Dachshund,Female,12 months,Now,No,Yes,No,Yes,Yes,Private Seller,314.0,21 days ago,Leachy,,December 2019
2 beautiful little boy chihuahua/pugs,£500,"Spalding, Lincolnshire",https://www.preloved.co.uk/adverts/show/123006439/2-beautiful-little-boy-chihuahuapugs,Pug/chihuahua,Male,3 months,Now,No,Yes,No,,All health checks and chipping will be done asap,Private Seller,815.0,21 days ago,Mariaw,,March 2021
